Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City_found
-33.7,-53.46,63.75,85,89,4.68,UY,1597007355,Chui
-21.21,-159.78,75.2,88,98,4.7,CK,1597007362,Avarua
-21.2,-175.2,73.4,83,20,8.05,TO,1597007365,Vaini
-24.79,-50.01,62.06,63,9,3.38,BR,1597007355,Castro
-46.6,168.33,48.99,89,93,18.99,NZ,1597007335,Bluff
-15.2,12.15,60.44,87,3,4.03,AO,1597007356,Mossamedes
47.75,7.4,78.01,76,0,1.01,FR,1597007799,Rixheim
-23.12,-134.97,70.05,76,29,25.32,PF,1597007337,Rikitea
67.68,53.15,48.4,89,98,4.5,RU,1597007799,Iskateley
58.88,40.25,49.55,88,0,2.77,RU,1597007800,Gryazovets
-2.02,147.27,80.76,72,94,1.12,PG,1597007373,Lorengau
27.98,-114.06,83.16,41,0,17.58,MX,1597007384,Guerrero Negro
71.29,-156.79,41.0,93,90,8.05,US,1597007357,Barrow
-33.01,17.94,55.4,82,11,3.36,ZA,1597007367,Saldanha
-54.8,-68.3,41.0,52,75,18.34,AR,1597007345,Ushuaia
-21.34,55.48,60.8,59,20,5.82,RE,1597007344,Saint-Pierre
68.75,161.3,43.45,80,100,9.31,RU,1597007348,Cherskiy
51.23,-58.65,76.68,55,34,16.84,CA,1597007801,Saint-Augustin
-28.65,153.62,52.0,76,2,6.93,AU,1597007116,Byron Bay
-23.13,150.73,42.8,93,75,5.82,AU,1597007387,Yeppoon
71.97,102.5,41.85,88,4,10.6,RU,1597007371,Khatanga
-43.3,-65.1,47.98,52,100,16.2,AR,1597007509,Rawson
42.6,-73.97,87.01,41,29,6.76,US,1597007198,Albany
32.67,-17.1,75.2,69,40,5.82,PT,1597007338,Ponta do Sol
62.46,-114.35,66.2,55,75,19.46,CA,1597007342,Yellowknife
50.25,-96.06,75.0,99,100,8.01,CA,1597007803,Lac du Bonnet
-53.15,-70.92,39.2,77,75,21.92,CL,1597007338,Punta Arenas
39.74,98.52,70.02,23,6,5.64,CN,1597007804,Jiuquan
73.51,80.55,43.21,95,52,17.25,RU,1597007804,Dikson
-33.93,18.42,57.99,87,75,9.17,ZA,1597007222,Cape Town
58.21,-6.39,59.0,87,94,2.66,GB,1597007346,Stornoway
71.69,128.87,39.11,86,100,12.19,RU,1597007383,Tiksi
11.28,-15.83,79.63,84,100,18.32,GW,1597007805,Bubaque
-20.73,139.5,37.4,74,0,9.64,AU,1597007375,Mount Isa
