,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City_found
0,22.68,-3.98,102.87,10,0,14.81,ML,1597089302,Taoudenni
1,-29.66,17.89,45.37,59,0,3.42,ZA,1597089302,Springbok
2,35.16,112.86,84.0,1,97,4.97,CN,1597089303,Xixiang
3,60.34,102.28,58.03,68,0,1.52,RU,1597089303,Vanavara
4,-34.53,20.04,50.0,93,0,2.24,ZA,1597089303,Bredasdorp
5,-54.8,-68.3,30.2,92,75,4.7,AR,1597089074,Ushuaia
6,-23.12,-134.97,69.85,76,41,26.02,PF,1597089057,Rikitea
7,5.35,48.53,75.0,79,49,28.21,SO,1597089304,Hobyo
8,-46.19,168.86,46.99,85,71,8.01,NZ,1597089304,Mataura
9,62.23,-6.59,51.8,100,13,8.05,FO,1597089304,Klaksvík
10,22.08,-159.32,82.99,74,40,18.34,US,1597089222,Kapaa
11,60.14,-45.24,43.63,68,0,18.1,GL,1597089305,Nanortalik
12,13.22,-59.52,86.0,74,40,16.11,BB,1597089305,Bathsheba
13,25.52,90.22,75.96,93,100,5.19,IN,1597089305,Tura
14,-0.77,-47.45,81.63,82,73,4.41,BR,1597089160,Maracanã
15,-21.2,-175.2,71.6,78,40,6.93,TO,1597089306,Vaini
16,-33.93,18.42,55.0,93,20,9.17,ZA,1597089133,Cape Town
17,50.27,85.61,54.95,75,59,1.72,RU,1597089307,Ust'-Koksa
18,40.28,97.2,70.23,26,100,7.11,CN,1597089307,Yumen
19,-33.65,115.33,55.0,98,75,17.65,AU,1597089086,Busselton
20,-33.52,-53.37,63.05,84,79,5.79,BR,1597089307,Santa Vitória do Palmar
21,18.39,42.45,71.6,77,40,4.7,SA,1597089307,Faya
22,5.88,-73.57,72.19,68,100,2.19,CO,1597089308,Moniquirá
23,71.29,-156.79,39.2,93,90,10.29,US,1597089308,Barrow
24,13.07,-59.53,86.0,74,40,16.11,BB,1597089293,Oistins
25,41.76,86.15,71.28,52,1,10.56,CN,1597089308,Korla
26,32.98,74.95,75.9,84,0,4.12,IN,1597089309,Katra
27,-20.34,57.76,66.2,68,40,6.93,MU,1597089309,Bambous Virieux
28,50.23,-63.6,75.2,60,1,12.75,CA,1597089309,Havre-St-Pierre
29,-33.7,-53.46,61.72,85,80,5.14,UY,1597089309,Chui
30,11.53,106.92,74.07,96,100,3.76,VN,1597089310,Don Luan
31,65.28,-126.83,71.6,56,40,9.17,CA,1597089310,Norman Wells
32,68.75,161.3,39.43,82,95,12.73,RU,1597089310,Cherskiy
33,-28.65,153.62,59.0,58,90,12.75,AU,1597089310,Byron Bay
34,30.39,-86.5,91.4,63,20,6.93,US,1597089311,Destin
35,3.07,172.79,82.18,76,96,12.53,KI,1597089090,Butaritari
36,-3.67,152.43,78.1,80,82,3.6,PG,1597089311,Namatanai
37,58.65,30.3,54.84,86,0,5.57,RU,1597089311,Batetskiy
38,-9.8,-139.03,79.2,70,4,20.85,PF,1597089094,Atuona
39,-33.59,26.89,57.22,77,0,4.52,ZA,1597089312,Port Alfred
40,-42.88,147.33,37.4,86,0,8.05,AU,1597089151,Hobart
41,-24.79,-50.01,68.74,56,0,6.26,BR,1597089312,Castro
42,50.6,97.52,48.27,80,58,2.44,RU,1597089312,Kungurtug
43,35.13,140.3,82.4,78,75,13.87,JP,1597089312,Katsuura
44,-23.7,133.88,62.6,25,0,10.29,AU,1597089313,Alice Springs
45,54.15,-115.69,66.2,34,20,21.92,CA,1597089313,Whitecourt
46,50.68,156.12,51.53,90,97,0.87,RU,1597089313,Severo-Kuril'sk
47,-45.87,170.5,44.01,74,1,3.0,NZ,1597089019,Dunedin
48,-45.58,-72.07,41.0,60,75,3.36,CL,1597089313,Coyhaique
49,-46.13,167.68,46.99,85,80,8.01,NZ,1597089314,Tuatapere
50,57.73,61.25,55.0,95,100,14.67,RU,1597089314,Neyvo-Shaytanskiy
51,-13.3,-72.12,71.6,15,75,17.22,PE,1597089314,Urubamba
